FILIAL;CODTIPOCURSO;CODPROVA;PROVA;CODAREA;CODMATERIA;AVALIADOR;SEQOBJETOAVALIADO;CODQUESTAO;QUESTAO;CODOPCAO;OPCAO;STATUS;RESPOSTA
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91560475;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91562848;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91571043;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91571944;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91579357;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91607301;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91620683;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91623364;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91652774;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91652807;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91667480;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91723019;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91736991;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91747037;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91756007;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
2;12;00760;Avaliação Docente UniCatolica 2026.1;;;91756252;;;NÃO RESPONDEU;0;Não Respondeu;EM ABERTO;
